loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.01481223851442337,0.0954417809844017,0.014766303822398186,0.01633063517510891,0.10099583864212036,0.01633060723543167,0.0005000000237487257
0.014774327166378498,0.09530031681060791,0.014728004112839699,0.01701265573501587,0.10332158207893372,0.017012638971209526,0.0005000000237487257
0.014753447845578194,0.09532152861356735,0.014706764370203018,0.017765995115041733,0.10534397512674332,0.017765991389751434,0.0005000000237487257
0.014728567562997341,0.09523645043373108,0.014681647531688213,0.017232587561011314,0.10442370176315308,0.01723257452249527,0.0005000000237487257
0.014707022346556187,0.09511040151119232,0.01466013677418232,0.01717064529657364,0.10418231040239334,0.0171706173568964,0.0005000000237487257
0.01480381190776825,0.09545698016881943,0.014758121222257614,0.0169877540320158,0.10359930992126465,0.01698772981762886,0.0005000000237487257
0.014718468300998211,0.09518827497959137,0.014671768993139267,0.017019422724843025,0.10288132727146149,0.01701940782368183,0.0005000000237487257
0.014753221534192562,0.09527329355478287,0.014706564135849476,0.017471712082624435,0.10385427623987198,0.017471710219979286,0.0005000000237487257
0.014672640711069107,0.09492288529872894,0.014625268056988716,0.0169045552611351,0.10502760857343674,0.01690443605184555,0.0005000000237487257
0.014686650596559048,0.09495308250188828,0.014638792723417282,0.016579333692789078,0.1032104343175888,0.016579249873757362,0.0005000000237487257
0.014722312800586224,0.09511347860097885,0.014674270525574684,0.016774050891399384,0.10259893536567688,0.016774030402302742,0.0005000000237487257
0.014611857943236828,0.09469889104366302,0.014564127661287785,0.016867918893694878,0.10398538410663605,0.016867883503437042,0.0002500000118743628
0.01455792598426342,0.09454493224620819,0.014509429223835468,0.017442971467971802,0.10596922785043716,0.017442947253584862,0.0002500000118743628
0.014594965614378452,0.09470828622579575,0.014546515420079231,0.01653818041086197,0.10267346352338791,0.016538120806217194,0.0002500000118743628
0.014592336490750313,0.09463702142238617,0.014543495140969753,0.016666637733578682,0.10326414555311203,0.0166665930300951,0.0002500000118743628
0.014563126489520073,0.09445091336965561,0.014515033923089504,0.016386909410357475,0.10184741020202637,0.016386859118938446,0.0002500000118743628
0.014560043811798096,0.09449639171361923,0.014511212706565857,0.017068026587367058,0.10388967394828796,0.017068009823560715,0.0002500000118743628
0.0145447738468647,0.0944327786564827,0.014494876377284527,0.016397077590227127,0.1025581955909729,0.01639700122177601,0.0002500000118743628
0.014592425897717476,0.09454892575740814,0.014543192461133003,0.016703177243471146,0.10247473418712616,0.016703136265277863,0.0002500000118743628
0.014549619518220425,0.09440642595291138,0.01450015977025032,0.01681523211300373,0.10243339091539383,0.016815194860100746,0.0002500000118743628
0.014525176957249641,0.09442006796598434,0.01447536051273346,0.01658163219690323,0.10202328115701675,0.0165815819054842,0.0002500000118743628
